                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2193,                 14.676,                  1.271,                0.87013,                0.27572,                0.57623,                0.32608,                 1.7766,                 1.8315,                 1.0492,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.7203,                 1.3822,                 1.0707,                0.95192,                0.40741,                0.68624,                0.38466,                 1.7216,                0.98667,                  1.044,               0.066625,              0.0036252,              0.0036252
                      2,                  1.685,                 1.1484,                 1.0328,                0.80275,                0.72016,                0.78844,                0.39395,                 1.8039,                0.96033,                 1.0631,               0.049374,              0.0053737,              0.0053737
                      3,                 1.6421,                 1.2339,                 1.0321,                0.82632,                0.72428,                0.80673,                0.38942,                 1.8039,                 1.5755,                  1.077,               0.032045,              0.0070454,              0.0070454
                      4,                 1.7199,                 1.1414,                 1.0305,                0.90062,                0.59671,                0.76316,                0.38413,                 1.8436,                 1.0143,                 1.1091,                0.01464,              0.0086403,              0.0086403
                      5,                  1.703,                 1.2624,                 1.0525,                0.82161,                 0.7284,                0.80649,                0.36258,                 1.8712,                 2.2054,                 1.1224,              0.0089898,              0.0089898,              0.0089898
                      6,                 1.7151,                 1.1034,                 1.0691,                0.70245,                0.66064,                0.65784,                0.29406,                 1.9029,                 2.0987,                 1.1181,              0.0089898,              0.0089898,              0.0089898
                      7,                 1.7095,                 1.0285,                 1.0686,                0.73625,                0.60494,                0.68823,                0.29085,                 1.9951,                 2.3436,                  1.216,              0.0087878,              0.0087878,              0.0087878
                      8,                 1.7007,                0.96119,                 1.0646,                0.73446,                0.70782,                0.74767,                0.36603,                 1.7211,                 1.5065,                 1.0751,              0.0085857,              0.0085857,              0.0085857
                      9,                 1.6992,                 1.0032,                 1.0419,                 0.6809,                 0.7572,                0.69069,                0.32174,                 1.8067,                  1.828,                  1.108,              0.0083837,              0.0083837,              0.0083837
                     10,                  1.669,                0.98431,                 1.0331,                 0.8066,                 0.7037,                0.75398,                0.35461,                 1.8366,                 1.3801,                 1.1044,              0.0081816,              0.0081816,              0.0081816
                     11,                 1.6681,                0.96029,                 1.0377,                0.81567,                 0.7284,                0.75385,                0.36343,                 1.7772,                 1.3486,                  1.074,              0.0079796,              0.0079796,              0.0079796
                     12,                 1.6504,                0.95019,                 1.0321,                0.86747,                0.59259,                0.73315,                0.36257,                 1.7964,                 1.0196,                 1.0751,              0.0077776,              0.0077776,              0.0077776
                     13,                 1.6602,                0.90362,                 1.0401,                0.83254,                0.71605,                0.80047,                0.41105,                 1.7487,                 1.0893,                 1.0808,              0.0075755,              0.0075755,              0.0075755
                     14,                 1.6843,                0.90113,                 1.0425,                  0.895,                0.73663,                0.83369,                0.42096,                 1.7431,                 0.9837,                 1.0659,              0.0073735,              0.0073735,              0.0073735
                     15,                 1.6589,                0.89049,                 1.0294,                0.91667,                0.67901,                0.79471,                0.39015,                 1.8216,                0.96246,                 1.0792,              0.0071714,              0.0071714,              0.0071714
                     16,                 1.6219,                0.85602,                 1.0064,                0.89674,                0.67901,                0.78645,                0.37593,                 1.7803,                0.96573,                 1.0639,              0.0069694,              0.0069694,              0.0069694
                     17,                 1.6047,                0.84074,                 1.0088,                0.91351,                0.69547,                0.80052,                0.40271,                 1.7483,                0.94018,                 1.0635,              0.0067673,              0.0067673,              0.0067673
                     18,                 1.6251,                0.83278,                 1.0097,                0.91351,                0.69547,                0.80921,                0.40151,                 1.8441,                0.93029,                 1.0864,              0.0065653,              0.0065653,              0.0065653
                     19,                  1.563,                0.81354,                 1.0074,                 0.9375,                0.55556,                0.74952,                0.39882,                 1.7872,                0.88471,                 1.0571,              0.0063633,              0.0063633,              0.0063633
                     20,                 1.5608,                0.80184,                 1.0015,                0.94048,                0.65021,                0.79375,                0.41889,                 1.7078,                0.88285,                 1.0199,              0.0061612,              0.0061612,              0.0061612
                     21,                 1.5444,                0.79121,                0.99765,                0.95946,                0.58436,                0.77568,                0.42763,                 1.7118,                0.88054,                 1.0308,              0.0059592,              0.0059592,              0.0059592
                     22,                 1.5538,                0.80662,                0.98259,                0.96835,                0.62963,                0.80435,                0.43371,                 1.7024,                0.86753,                 1.0233,              0.0057571,              0.0057571,              0.0057571
                     23,                 1.5148,                0.76242,                0.99079,                0.99306,                0.58848,                0.79228,                0.43216,                 1.7812,                0.81198,                 1.0428,              0.0055551,              0.0055551,              0.0055551
                     24,                 1.5145,                 0.7751,                 0.9843,                0.97175,                0.70782,                0.83856,                0.44254,                 1.6895,                0.80655,                 1.0309,              0.0053531,              0.0053531,              0.0053531
                     25,                 1.4791,                0.75537,                0.97478,                0.97183,                 0.5679,                0.77275,                0.42349,                 1.7197,                0.81032,                 1.0398,               0.005151,               0.005151,               0.005151
                     26,                 1.4831,                0.74047,                0.96747,                0.98077,                0.62963,                0.80653,                0.43497,                 1.7053,                0.79078,                 1.0404,               0.004949,               0.004949,               0.004949
                     27,                 1.4627,                0.73167,                0.97019,                0.95726,                0.46091,                0.70626,                0.40768,                 1.7516,                0.82722,                 1.0485,              0.0047469,              0.0047469,              0.0047469
                     28,                 1.4645,                0.72366,                0.96388,                0.93478,                0.70782,                0.82723,                0.43711,                 1.6636,                0.78932,                 1.0227,              0.0045449,              0.0045449,              0.0045449
                     29,                 1.4486,                0.73764,                0.96444,                0.97605,                0.67078,                0.82047,                0.42019,                 1.7649,                0.79904,                 1.0643,              0.0043429,              0.0043429,              0.0043429
                     30,                 1.4235,                 0.7164,                 0.9607,                0.98113,                0.64198,                0.81052,                0.39986,                 1.8688,                0.80693,                 1.0866,              0.0041408,              0.0041408,              0.0041408
                     31,                 1.4365,                0.71938,                0.95598,                0.95977,                0.68724,                0.82224,                0.41995,                  1.772,                0.80283,                 1.0621,              0.0039388,              0.0039388,              0.0039388
                     32,                 1.4386,                0.70915,                0.95016,                0.94975,                0.77778,                0.86979,                0.45634,                 1.6761,                0.79264,                 1.0182,              0.0037367,              0.0037367,              0.0037367
