                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2193,                 14.676,                  1.271,                0.87013,                0.27572,                0.57623,                0.32608,                 1.7766,                 1.8315,                 1.0492,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.7173,                 1.3449,                 1.0712,                0.89583,                0.35391,                0.63244,                0.37366,                 1.7347,                0.99154,                 1.0502,               0.066656,              0.0036559,              0.0036559
                      2,                 1.6953,                 1.1949,                 1.0279,                0.83495,                0.70782,                0.80305,                0.41522,                 1.7221,                0.97795,                 1.0409,               0.049466,              0.0054664,              0.0054664
                      3,                 1.6405,                 1.2149,                 1.0372,                0.81814,                0.72428,                0.81657,                0.37759,                 1.7916,                  1.751,                 1.1079,               0.032232,              0.0072316,              0.0072316
                      4,                 1.6883,                  1.145,                  1.032,                0.83643,                0.75759,                 0.8379,                0.40691,                 1.7584,                 1.6852,                 1.0875,               0.014952,              0.0089515,              0.0089515
                      5,                 1.7488,                 1.1617,                 1.0748,                0.77302,                0.56379,                0.68177,                0.31174,                 1.7887,                 1.8277,                 1.0844,              0.0094036,              0.0094036,              0.0094036
                      6,                 1.7172,                 1.1328,                 1.0413,                0.65452,                0.65844,                0.68756,                0.28882,                 1.8964,                 3.2496,                    1.1,              0.0094036,              0.0094036,              0.0094036
                      7,                 1.7031,                 1.0282,                 1.0424,                0.85145,                 0.6749,                0.78781,                0.35174,                 1.7564,                 1.1978,                 1.0734,              0.0092843,              0.0092843,              0.0092843
                      8,                 1.7319,                0.99126,                 1.0509,                0.72537,                0.74997,                0.76064,                 0.3558,                 1.6868,                 2.0645,                  1.047,              0.0091651,              0.0091651,              0.0091651
                      9,                 1.6864,                 1.0255,                  1.028,                0.73679,                0.66812,                0.72078,                0.36089,                 1.7401,                 1.4819,                 1.0422,              0.0090458,              0.0090458,              0.0090458
                     10,                 1.7147,                0.96068,                 1.0304,                0.93373,                0.63786,                 0.7769,                0.39552,                 1.8051,                 1.0213,                  1.072,              0.0089265,              0.0089265,              0.0089265
                     11,                 1.6987,                 0.9815,                 1.0379,                 0.8228,                0.67078,                0.75971,                0.35866,                 1.8232,                 1.1291,                 1.0988,              0.0088072,              0.0088072,              0.0088072
                     12,                 1.6792,                0.95581,                 1.0267,                0.79248,                0.60082,                0.70323,                0.34807,                 1.8303,                 1.1202,                 1.0873,               0.008688,               0.008688,               0.008688
                     13,                 1.6898,                0.93689,                 1.0407,                0.89674,                0.67901,                0.79591,                0.39113,                 1.7209,                 1.0103,                 1.0412,              0.0085687,              0.0085687,              0.0085687
                     14,                 1.6587,                0.89111,                 1.0374,                0.88293,                0.74486,                0.80588,                0.38467,                 1.7598,                0.99653,                 1.0607,              0.0084494,              0.0084494,              0.0084494
                     15,                 1.6507,                0.90103,                 1.0303,                0.93506,                0.59259,                 0.7634,                0.37107,                 1.8501,                0.97798,                 1.0945,              0.0083301,              0.0083301,              0.0083301
